File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
135.py,5,5,5,0,3,73.20852939104878,3,5,8,5,8,13,8,39.0,2.4,93.6,0.013,5.199999999999999
58.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
162.py,6,6,6,0,2,78.01508585192973,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
113.py,2,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
86.py,3,4,3,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
160.py,5,5,5,0,2,74.66308527157166,1,6,7,3,6,9,7,25.26619429851844,0.5,12.63309714925922,0.008422064766172813,0.701838730514401
147.py,24,12,11,0,6,84.80882984006696,5,15,20,11,22,33,20,142.62362713128297,3.6666666666666665,522.9532994813709,0.04754120904376099,29.05296108229838
42.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
157.py,2,2,2,0,3,76.60537517251238,4,19,23,16,33,49,23,221.65453584679364,3.473684210526316,769.9578613625464,0.07388484528226455,42.77543674236369
33.py,2,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
59.py,10,10,10,0,4,65.35023808356328,5,4,9,6,12,18,9,57.058650025961626,7.5,427.9398751947122,0.019019550008653876,23.774437510817346
152.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
116.py,2,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
53.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
108.py,6,6,6,0,3,74.28529248621352,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
45.py,2,2,2,0,1,84.96220422681199,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
163.py,15,7,6,0,3,90.88032924672994,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
67.py,4,4,4,0,1,78.7218789164598,1,4,5,2,4,6,5,13.931568569324174,0.5,6.965784284662087,0.004643856189774725,0.3869880158145604
30.py,2,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
87.py,7,7,7,0,4,76.28570514245513,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
65.py,11,9,7,4,2,96.62110349497996,4,5,9,5,9,14,9,44.37895002019238,3.6,159.76422007269255,0.014792983340064125,8.875790004038475
148.py,11,12,11,0,4,63.152415511496784,5,8,13,6,12,18,13,66.60791492653966,3.75,249.77968097452373,0.022202638308846556,13.876648943029096
137.py,15,10,9,1,3,99.95917138891716,1,2,3,2,4,6,3,9.509775004326938,1.0,9.509775004326938,0.003169925001442313,0.5283208335737188
142.py,10,10,10,0,4,63.1611916248429,4,11,15,10,20,30,15,117.20671786825557,3.6363636363636362,426.2062467936566,0.03906890595608519,23.67812482186981
107.py,18,15,14,0,6,60.55293654344536,4,11,15,7,13,20,15,78.13781191217038,2.3636363636363638,184.68937361058454,0.026045937304056792,10.260520756143585
39.py,29,15,14,0,8,85.74231679433849,7,14,21,9,16,25,21,109.80793556946902,4.0,439.2317422778761,0.03660264518982301,24.401763459882005
119.py,34,12,13,4,4,86.49861613331133,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
52.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
