File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
89.py,5,6,5,0,1,78.14958877590634,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
27.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
57.py,4,4,4,0,5,72.24850544806722,6,11,17,8,16,24,17,98.09910819000817,4.363636363636363,428.06883573821744,0.03269970273000272,23.781601985456525
96.py,6,6,6,0,4,70.36990987149105,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
143.py,16,14,14,0,7,61.97746292794532,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
129.py,22,20,21,0,2,56.41786678597934,7,16,23,10,20,30,23,135.7068586817104,4.375,593.717506732483,0.04523561956057014,32.98430592958239
32.py,28,16,14,0,8,85.60972866553715,10,19,29,14,25,39,29,189.46125880997533,6.578947368421052,1246.4556500656272,0.06315375293665844,69.24753611475707
88.py,6,6,6,0,2,71.81380425592978,4,6,10,4,7,11,10,36.541209043760986,2.3333333333333335,85.26282110210897,0.012180403014586996,4.736823394561609
127.py,10,10,10,0,3,66.717734318746,4,5,9,4,8,12,9,38.03910001730775,3.2,121.72512005538482,0.012679700005769252,6.762506669743601
83.py,2,2,2,0,4,79.71996924139252,5,9,14,7,13,20,14,76.14709844115208,3.611111111111111,274.97563325971583,0.025382366147050694,15.276424069984213
98.py,7,7,7,0,4,68.64803339719332,5,10,15,5,10,15,15,58.60335893412778,2.5,146.50839733531944,0.019534452978042596,8.139355407517748
8.py,7,7,7,0,2,73.28575273835813,2,3,5,2,4,6,5,13.931568569324174,1.3333333333333333,18.575424759098897,0.004643856189774725,1.0319680421721609
62.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
37.py,7,7,7,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
84.py,2,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
139.py,5,5,5,0,2,76.14705226402761,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
110.py,12,12,12,0,7,62.115051559591045,5,10,15,7,14,21,15,82.0447025077789,3.5,287.15645877722613,0.02734823416925963,15.953136598734785
146.py,6,6,6,0,5,67.08322281646534,8,14,22,11,23,34,22,151.6206750336681,6.571428571428571,996.3644359355333,0.050540225011222704,55.35357977419629
75.py,7,7,7,0,6,65.2301117456102,9,15,24,12,24,36,24,165.05865002596164,7.2,1188.422280186924,0.05501955000865388,66.02346001038467
36.py,6,6,6,0,5,68.23764225249928,6,14,20,8,16,24,20,103.72627427729671,3.4285714285714284,355.63294037930297,0.0345754247590989,19.757385576627943
102.py,7,7,7,0,4,68.71327751879107,5,7,12,6,10,16,12,57.359400011538504,3.5714285714285716,204.85500004120897,0.01911980000384617,11.38083333562272
21.py,7,5,5,0,2,74.66308527157166,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
121.py,2,2,2,0,4,80.77781576413629,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
149.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
38.py,24,14,12,4,8,85.89317755718729,4,18,22,14,28,42,22,187.29612798276648,3.111111111111111,582.6990648352735,0.06243204266092216,32.372170268626306
135.py,5,5,5,0,3,73.20852939104878,3,5,8,5,8,13,8,39.0,2.4,93.6,0.013,5.199999999999999
58.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
162.py,8,6,6,0,2,78.01508585192973,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
113.py,2,2,2,0,6,76.55398955591903,3,23,26,14,28,42,26,197.4184681619259,1.826086956521739,360.50328968699506,0.0658061560539753,20.027960538166393
86.py,7,7,7,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
160.py,14,14,14,0,7,59.16779767324202,6,16,22,10,20,30,22,133.78294855911892,3.75,501.68605709669595,0.044594316186372975,27.87144761648311
147.py,13,9,9,4,6,92.06283596466908,5,14,19,11,22,33,19,140.1816079436383,3.9285714285714284,550.713459778579,0.04672720264787944,30.595192209921056
42.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
157.py,5,5,5,0,2,72.47456280386446,3,8,11,5,10,15,11,51.89147427955947,1.875,97.296514274174,0.01729715809318649,5.405361904120777
33.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
59.py,14,12,12,0,9,59.94048908383084,7,17,24,12,23,35,24,160.4736875252405,4.735294117647059,759.8901085754036,0.05349122917508017,42.21611714307798
152.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
116.py,3,2,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
